Vocabulary,Level - 1,Level - 2,Level - 3,Map from Joomla taxonomy
Automation Strategies,Control
,,PLC,,Product Strategies // Controllers
,,PAC,,Automation Strategies // Automation Controls
,,DCS,ISA88,Product Strategies // Distributed Control Systems
,,SCADA
,,I/O,,Product Strategies // Controllers
,,HMI,"Software, Hardware, Panel PC, Display, Mobile",Product Strategies // HMI
,,Advanced Control,"DeviceNet, ControlNet, PROFIBUS, EtherNet/IP, PROFINET, CC-Link, Sercos, EtherCat, Ethernet Powerlink, Foundation Fieldbus,Modbus,Modbus TCP"
,,Industrial PCs,,Product Strategies // Personal Computers
,,Process Controllers,,Automation Strategies // Process Automation
,,Batch Controllers,,Automation Strategies // Batch Automation
,,Motion Control ,Robotic,Product Strategies // Motion
,,Machine Control,,Automation Strategies // Machine Automation

,,Sensors,,Product Strategies //  Sensors
,,Networking
,Asset Management,,,Automation Strategies // Asset Management
,,Maintenance,"Predictive, Information Standards, Preventive, Condition, Cable, Wire, Asset Reliability",Automation Strategies // Maintenance & Support
,,Prognostics
,,Diagnostics
,,Remote Diagnostics
,,Fieldbuses,"DeviceNet, AS-Interface, CAN, Interbus, ControlNet, CC-link, HART,Foundation Fieldbus, EDDL, FDT, OPC, PROFIBUS, Modbus, Interbus, OpenSafety"
,,Instrumentation,Smart ,Product Strategies // Instrumentation
,,Sensors,"Photoelectric, Pressure, Flow, Displacement, Barcode Reader, Proximity, Ultrasonic, Level, Infrared, Potentiometer, Multimeter, Position, Temperature, Wireless, Amperometric, Array, 3D",Automation Strategies // Wireless 
,,Vision,"GigE, 2D, 3D",Product Strategies // Vision
,,Valves
,,Robotics,,Product Strategies // Robotic
,,HMI
,Operations Management
,,Manufacturing Execution System (MES),"Workflow-Instruction Technology, Apps",Product Strategies // MES
,,Manufacturing Operations Management (MOM),,Automation Strategies // Production & Performance Management
,,Enterprise Resource Planning (ERP)
,,Business Process Management,CRM,Automation Strategies // Business Process Integration
,,Production Management,"Modeling, Simulation, Emulation",Automation Strategies // Simulation
,,Supply Chain
,,Product Lifecycle Management (PLM),Software,Automation Strategies // Product Lifecycle Management
,,Overall Equipment Effectiveness
,,Training,Operator Training Simulation,Automation Strategies // Staffing & Training
,,Cloud Computing
,,Operator Performance
,,System Integration
,,KPI
,,Quality
,,Traceability,,Automation Strategies // Regulatory and Traceability
,,Lean Manufacturing,Resource Consumption Accounting ,Automation Strategies // Lean/Six Sigma

,Information Management
,,Historian,,Product Strategies // Historians 
,,Cloud Computing
